site_name,floor,zone,day_type,hour_bucket,device_ping_count,unique_device_count,avg_dwell_minutes,repeat_visit_ratio,note
城心天街-地下美食街,B1,corridor,weekend,17-20,180,37,7.7,0.23,模拟设备信号
高新园区-科技馆,1F,corridor,weekend,20-22,17,4,2.5,0.21,模拟设备信号
城心天街-中庭,1F,foodcourt,weekday,14-17,123,31,13.3,0.22,模拟设备信号
滨江写字楼-3F通廊,3F,entrance,weekend,14-17,33,6,4.4,0.14,模拟设备信号
滨江写字楼-大堂,1F,entrance,weekend,20-22,95,23,7.3,0.21,模拟设备信号
城心天街-地下美食街,B1,entrance,weekday,17-20,163,39,11.7,0.34,模拟设备信号
滨江写字楼-3F通廊,3F,entrance,weekend,20-22,30,6,5.0,0.16,模拟设备信号
城心天街-中庭,1F,entrance,weekday,12-14,191,31,10.6,0.28,模拟设备信号
滨江写字楼-3F通廊,3F,atrium,weekday,12-14,40,8,4.0,0.13,模拟设备信号
高新园区-科技馆,1F,entrance,weekend,17-20,49,12,5.0,0.19,模拟设备信号
老城步行街-临街口,1F,exit,weekend,10-12,126,25,7.8,0.34,模拟设备信号
高新园区-科技馆,1F,foodcourt,weekday,12-14,51,11,5.7,0.14,模拟设备信号
高新园区-地铁接驳厅,B1,exit,weekend,14-17,84,20,5.0,0.14,模拟设备信号
城心天街-中庭,1F,entrance,weekend,12-14,252,51,12.3,0.29,模拟设备信号
滨江写字楼-3F通廊,3F,foodcourt,weekend,12-14,61,10,5.3,0.19,模拟设备信号
城心天街-中庭,1F,foodcourt,weekend,12-14,341,72,10.4,0.28,模拟设备信号
滨江写字楼-大堂,1F,atrium,weekday,20-22,61,11,6.6,0.22,模拟设备信号
滨江写字楼-大堂,1F,entrance,weekday,12-14,109,19,8.2,0.21,模拟设备信号
老城步行街-2F,2F,atrium,weekend,14-17,112,16,5.8,0.19,模拟设备信号
高新园区-科技馆,1F,exit,weekend,10-12,27,5,4.4,0.14,模拟设备信号
城心天街-中庭,1F,entrance,weekend,20-22,211,40,13.1,0.29,模拟设备信号
老城步行街-临街口,1F,corridor,weekday,12-14,109,23,7.1,0.27,模拟设备信号
老城步行街-2F,2F,exit,weekday,10-12,50,9,6.2,0.18,模拟设备信号
高新园区-地铁接驳厅,B1,foodcourt,weekend,20-22,92,21,7.3,0.21,模拟设备信号
滨江写字楼-大堂,1F,atrium,weekday,17-20,93,15,6.1,0.2,模拟设备信号
滨江写字楼-3F通廊,3F,corridor,weekend,10-12,16,4,3.0,0.16,模拟设备信号
高新园区-地铁接驳厅,B1,atrium,weekend,14-17,95,22,7.6,0.16,模拟设备信号
城心天街-地下美食街,B1,corridor,weekend,20-22,109,23,6.0,0.35,模拟设备信号
高新园区-科技馆,1F,exit,weekday,20-22,20,4,4.3,0.19,模拟设备信号
老城步行街-2F,2F,exit,weekend,20-22,84,18,6.7,0.14,模拟设备信号
老城步行街-2F,2F,entrance,weekend,17-20,135,25,6.8,0.14,模拟设备信号
滨江写字楼-3F通廊,3F,foodcourt,weekday,12-14,40,11,5.1,0.2,模拟设备信号
老城步行街-临街口,1F,atrium,weekend,20-22,162,41,9.4,0.27,模拟设备信号
滨江写字楼-大堂,1F,entrance,weekday,10-12,63,11,7.3,0.22,模拟设备信号
老城步行街-临街口,1F,entrance,weekday,12-14,199,39,11.5,0.25,模拟设备信号
滨江写字楼-大堂,1F,foodcourt,weekend,10-12,105,22,8.9,0.15,模拟设备信号
城心天街-中庭,1F,entrance,weekend,14-17,222,44,11.0,0.22,模拟设备信号
老城步行街-2F,2F,exit,weekday,14-17,52,10,6.2,0.18,模拟设备信号
城心天街-中庭,1F,foodcourt,weekday,12-14,228,46,11.4,0.21,模拟设备信号
城心天街-中庭,1F,corridor,weekend,17-20,163,39,7.7,0.24,模拟设备信号
城心天街-地下美食街,B1,exit,weekend,14-17,172,29,8.6,0.26,模拟设备信号
城心天街-中庭,1F,exit,weekday,10-12,83,20,8.4,0.35,模拟设备信号
城心天街-中庭,1F,foodcourt,weekend,20-22,191,41,11.1,0.23,模拟设备信号
老城步行街-2F,2F,corridor,weekend,12-14,101,15,3.7,0.21,模拟设备信号
老城步行街-临街口,1F,atrium,weekend,17-20,232,52,11.0,0.33,模拟设备信号
老城步行街-临街口,1F,atrium,weekday,10-12,105,23,11.3,0.34,模拟设备信号
滨江写字楼-3F通廊,3F,foodcourt,weekday,17-20,42,11,5.7,0.19,模拟设备信号
城心天街-中庭,1F,atrium,weekday,20-22,131,21,11.3,0.26,模拟设备信号
滨江写字楼-大堂,1F,atrium,weekend,20-22,97,20,7.6,0.21,模拟设备信号
城心天街-中庭,1F,exit,weekend,17-20,203,43,9.0,0.24,模拟设备信号
滨江写字楼-大堂,1F,entrance,weekend,12-14,166,28,6.6,0.13,模拟设备信号
老城步行街-临街口,1F,exit,weekday,17-20,157,32,10.7,0.27,模拟设备信号
城心天街-中庭,1F,exit,weekend,14-17,172,34,10.8,0.21,模拟设备信号
城心天街-中庭,1F,atrium,weekday,17-20,191,38,9.7,0.2,模拟设备信号
城心天街-地下美食街,B1,exit,weekend,12-14,250,49,8.8,0.21,模拟设备信号
老城步行街-临街口,1F,exit,weekday,20-22,101,19,10.7,0.2,模拟设备信号
高新园区-科技馆,1F,foodcourt,weekend,10-12,36,6,4.9,0.14,模拟设备信号
滨江写字楼-大堂,1F,foodcourt,weekday,20-22,63,15,8.6,0.19,模拟设备信号
高新园区-地铁接驳厅,B1,exit,weekday,10-12,52,10,5.0,0.16,模拟设备信号
滨江写字楼-3F通廊,3F,atrium,weekday,17-20,42,9,5.0,0.15,模拟设备信号
老城步行街-临街口,1F,exit,weekend,14-17,142,37,8.1,0.27,模拟设备信号
滨江写字楼-3F通廊,3F,exit,weekday,12-14,31,9,4.0,0.15,模拟设备信号
滨江写字楼-大堂,1F,foodcourt,weekend,12-14,167,29,8.2,0.21,模拟设备信号
城心天街-地下美食街,B1,entrance,weekend,20-22,215,34,12.1,0.3,模拟设备信号
城心天街-地下美食街,B1,atrium,weekday,14-17,108,22,9.9,0.35,模拟设备信号
高新园区-地铁接驳厅,B1,entrance,weekday,17-20,97,20,7.7,0.23,模拟设备信号
老城步行街-临街口,1F,corridor,weekend,17-20,143,34,6.8,0.35,模拟设备信号
高新园区-地铁接驳厅,B1,corridor,weekend,14-17,67,15,3.8,0.19,模拟设备信号
老城步行街-2F,2F,entrance,weekend,10-12,93,18,6.6,0.14,模拟设备信号
城心天街-地下美食街,B1,exit,weekday,12-14,132,36,9.4,0.32,模拟设备信号
高新园区-地铁接驳厅,B1,entrance,weekday,14-17,76,12,8.6,0.13,模拟设备信号
高新园区-地铁接驳厅,B1,exit,weekday,17-20,71,13,5.5,0.2,模拟设备信号
